month,orders,monthly_revenue,avg_order_value
2023-01-01 00:00:00,2864,2020616.5000000007,705.52
2023-02-01 00:00:00,2482,1782552.590000002,718.19
2023-03-01 00:00:00,2818,2017121.9100000008,715.8
2023-04-01 00:00:00,2675,1974421.7700000005,738.1
2023-05-01 00:00:00,2854,2075931.000000003,727.38
2023-06-01 00:00:00,2816,2025248.6200000013,719.19
2023-07-01 00:00:00,2825,2024576.4999999981,716.66
2023-08-01 00:00:00,2839,2066567.7600000007,727.92
2023-09-01 00:00:00,2732,1962855.7600000007,718.47
2023-10-01 00:00:00,2849,2083371.1300000013,731.26
2023-11-01 00:00:00,2709,2327911.409999998,859.32
2023-12-01 00:00:00,2861,2056519.5099999977,718.81
2024-01-01 00:00:00,2776,1999938.1499999966,720.44
2024-02-01 00:00:00,2557,1861863.7899999977,728.14
2024-03-01 00:00:00,2811,2019724.9299999936,718.51
2024-04-01 00:00:00,2687,1912114.6600000025,711.62
2024-05-01 00:00:00,2787,2039742.5800000008,731.88
2024-06-01 00:00:00,2675,1957474.2299999956,731.77
2024-07-01 00:00:00,2772,1996100.3799999987,720.09
2024-08-01 00:00:00,2884,2037558.3000000003,706.5
2024-09-01 00:00:00,2767,1996699.3200000005,721.61
2024-10-01 00:00:00,2746,1995517.4899999977,726.7
2024-11-01 00:00:00,2832,2450451.839999993,865.27
2024-12-01 00:00:00,2782,2031283.429999999,730.15
2025-01-01 00:00:00,2864,2053229.8499999968,716.91
2025-02-01 00:00:00,2585,1888985.250000001,730.75
2025-03-01 00:00:00,2809,2055598.049999997,731.79
2025-04-01 00:00:00,2779,2016263.9699999962,725.54
2025-05-01 00:00:00,2906,2068441.3599999973,711.78
2025-06-01 00:00:00,2750,1953417.7099999983,710.33
2025-07-01 00:00:00,2792,2033989.9300000027,728.51
2025-08-01 00:00:00,2873,2092621.3499999973,728.37
2025-09-01 00:00:00,2730,1949839.8799999987,714.23
2025-10-01 00:00:00,2886,2046029.5099999981,708.95
2025-11-01 00:00:00,2774,2456581.8499999964,885.57
2025-12-01 00:00:00,2852,2083637.8300000029,730.59
